7:00 AM,7:15 AM,7:30 AM,7:45 AM,8:00 AM,8:15 AM,8:30 AM,8:45 AM,9:00 AM,9:15 AM,9:30 AM,9:45 AM,10:00 AM,10:15 AM,10:30 AM,10:45 AM,11:00 AM,11:15 AM,11:30 AM,11:45 AM,12:00 PM,12:15 PM,12:30 PM,12:45 PM,1:00 PM,1:15 PM,1:30 PM,1:45 PM,2:00 PM,2:15 PM,2:30 PM,2:45 PM,3:00 PM,3:15 PM,3:30 PM,3:45 PM,4:00 PM,4:15 PM,4:30 PM,4:45 PM,5:00 PM,5:15 PM,5:30 PM,5:45 PM,6:00 PM,6:15 PM,6:30 PM,6:45 PM,7:00 PM,7:15 PM,7:30 PM,7:45 PM,8:00 PM,8:15 PM,8:30 PM,8:45 PM,9:00 PM,9:15 PM,9:30 PM,9:45 PM,10:00 PM,10:15 PM,10:30 PM,10:45 PM,11:00 PM,11:15 PM,11:30 PM,
4,6,8,11,27,35,40,45,55,60,64,67,70,75,75,76,80,83,81,79,77,76,75,74,73,73,74,73,74,71,71,71,70,69,67,66,64,62,56,53,48,42,36,33,30,26,23,20,18,16,13,10,7,6,5,3,2,2,0,0,0,0,0,0,0,0,0,
3,2,3,3,4,5,4,5,5,6,6,6,6,6,6,6,6,6,7,6,6,6,6,6,6,6,6,6,6,5,5,5,6,6,6,6,6,6,6,6,5,5,5,4,4,4,4,4,4,3,3,3,3,2,3,2,2,2,1,1,1,1,1,1,1,1,1,
1,2,2,3,8,10,12,13,16,17,18,19,20,22,22,22,23,24,23,23,22,22,22,21,21,21,21,21,21,21,21,21,20,20,19,19,18,18,16,15,14,12,10,10,9,8,7,6,5,5,4,3,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,
4,4,5,6,12,15,16,18,21,23,24,25,26,28,28,28,29,30,30,29,28,28,28,27,27,27,27,27,27,26,26,26,26,26,25,25,24,24,22,21,19,17,15,14,13,12,11,10,9,8,7,6,5,4,4,3,3,3,1,1,1,1,1,1,1,1,1,
3.28%,11.51%,9.97%,12.38%,12.08%,11.00%,16.00%,13.83%,16.20%,14.04%,16.00%,15.91%,15.80%,13.78%,13.78%,15.56%,17.33%,17.14%,13.60%,15.43%,17.51%,15.56%,13.78%,17.69%,15.69%,15.69%,17.69%,15.69%,17.69%,17.86%,17.86%,17.86%,15.80%,13.92%,15.91%,13.98%,16.00%,12.22%,12.16%,12.10%,13.93%,13.69%,13.26%,12.95%,12.56%,9.66%,9.03%,8.26%,9.83%,11.76%,10.36%,8.55%,6.21%,11.51%,6.64%,6.37%,2.23%,2.23%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,
97.64%,91.14%,92.69%,91.06%,92.56%,93.74%,90.42%,92.23%,91.02%,92.70%,91.53%,91.71%,91.89%,93.37%,93.37%,92.25%,91.22%,91.45%,93.65%,92.44%,90.99%,92.25%,93.37%,90.75%,92.07%,92.07%,90.75%,92.07%,90.75%,90.52%,90.52%,90.52%,91.89%,93.09%,91.71%,92.95%,91.53%,93.95%,93.79%,93.73%,92.29%,92.19%,92.20%,92.26%,92.38%,94.24%,94.54%,94.93%,93.66%,92.04%,92.88%,94.03%,95.59%,91.14%,95.05%,95.02%,98.31%,98.31%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,
3.0 (s),13.2 (s),9.6 (s),11.4 (s),7.5 (s),5.8 (s),9.4 (s),7.2 (s),8.2 (s),6.4 (s),7.6 (s),7.3 (s),7.1 (s),5.7 (s),5.7 (s),6.7 (s),7.6 (s),7.4 (s),5.4 (s),6.5 (s),7.9 (s),6.7 (s),5.7 (s),8.2 (s),6.9 (s),6.9 (s),8.2 (s),6.9 (s),8.2 (s),8.5 (s),8.5 (s),8.5 (s),7.1 (s),6.0 (s),7.3 (s),6.1 (s),7.6 (s),5.2 (s),5.4 (s),5.5 (s),7.1 (s),7.3 (s),7.5 (s),7.5 (s),7.5 (s),5.6 (s),5.4 (s),5.1 (s),6.7 (s),9.1 (s),8.3 (s),7.1 (s),5.4 (s),13.2 (s),6.8 (s),7.8 (s),2.4 (s),2.4 (s),0.0 (s),0.0 (s),0.0 (s),0.0 (s),0.0 (s),0.0 (s),0.0 (s),0.0 (s),0.0 (s),
96.72%,88.49%,90.03%,87.62%,87.92%,89.00%,84.00%,86.17%,83.80%,85.96%,84.00%,84.09%,84.20%,86.22%,86.22%,84.44%,82.67%,82.86%,86.40%,84.57%,82.49%,84.44%,86.22%,82.31%,84.31%,84.31%,82.31%,84.31%,82.31%,82.14%,82.14%,82.14%,84.20%,86.08%,84.09%,86.02%,84.00%,87.78%,87.84%,87.90%,86.07%,86.31%,86.74%,87.05%,87.44%,90.34%,90.97%,91.74%,90.17%,88.24%,89.64%,91.45%,93.79%,88.49%,93.36%,93.63%,97.77%,97.77%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,
28.89,43.33,46.22,52.96,65.00,67.41,72.22,72.22,75.66,75.36,77.04,77.42,77.78,77.38,77.38,78.41,79.69,79.93,78.00,78.70,79.44,78.41,77.38,79.18,78.11,78.11,79.18,78.11,79.18,78.89,78.89,78.89,77.78,76.67,77.42,76.27,77.04,74.63,73.54,72.91,72.98,71.37,69.33,68.10,66.67,62.59,60.40,57.78,57.78,57.78,53.65,48.15,40.44,43.33,36.11,28.89,19.26,19.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
4,4,5,6,13,16,17,19,22,24,25,26,27,29,29,29,31,32,32,31,29,29,29,28,28,28,28,28,28,27,27,27,27,27,26,26,25,25,23,22,20,18,16,15,14,13,12,11,9,8,7,6,5,4,4,3,3,3,1,1,1,1,1,1,1,1,1,










